validators,clients,deposit,reward,tau,runtime,remainder_sink,rand_period,seed,ipfs_fail_rate,intent_cap,fee_policy,round_index,balances_sum,entitlements_sum,pools_sum,locked_deposits,treasury,conserved_money,blocks_applied,txs_applied,avg_txs_per_block,avg_fee_per_tx,unique_eligibilities,missed_proposals,forks_observed,fees_charged,fees_distributed,rounds,alloc_total,refund_total,forfeit_total,remainder_total,included_total,refunds_count_total,ml_rounds,ml_last_acc_before,ml_last_acc_after,ml_impr_sum,ml_clients_used_sum
3,5,20,1000,0.8,12.0,treasury,8,1,0.0,3,proposer,1,1908,0,0,100,2,2010,18,28,1.5556,1.357143,18,0,17,38,38,1,998,100,0,2,5,5,0,0.000,0.000,0.0000,0
3,5,20,1000,0.8,12.0,treasury,8,2,0.0,3,proposer,1,1908,0,0,100,2,2010,23,28,1.2174,1.357143,23,0,22,38,38,1,998,100,0,2,5,5,0,0.000,0.000,0.0000,0
3,5,20,1000,0.8,12.0,treasury,8,3,0.0,3,proposer,1,1908,0,0,100,2,2010,21,23,1.0952,1.434783,22,1,20,33,33,1,998,100,0,2,5,5,0,0.000,0.000,0.0000,0
3,5,20,1000,0.8,12.0,treasury,8,4,0.0,3,proposer,1,1908,0,0,100,2,2010,25,23,0.9200,1.434783,25,0,24,33,33,1,998,100,0,2,5,5,0,0.000,0.000,0.0000,0
3,5,20,1000,0.8,12.0,treasury,8,5,0.0,3,proposer,1,1908,0,0,100,2,2010,20,28,1.4000,1.357143,20,0,19,38,38,1,998,100,0,2,5,5,0,0.000,0.000,0.0000,0
