validators,clients,deposit,reward,tau,runtime,remainder_sink,rand_period,seed,ipfs_fail_rate,intent_cap,fee_policy,round_index,balances_sum,entitlements_sum,pools_sum,locked_deposits,treasury,conserved_money,blocks_applied,txs_applied,avg_txs_per_block,avg_fee_per_tx,unique_eligibilities,missed_proposals,forks_observed,fees_charged,fees_distributed,rounds,alloc_total,refund_total,forfeit_total,remainder_total,included_total,refunds_count_total,ml_rounds,ml_last_acc_before,ml_last_acc_after,ml_impr_sum,ml_clients_used_sum
3,5,20,1000,0.8,14.0,treasury,8,11,0.0,3,proposer,1,1910,0,0,100,0,2010,28,28,1.0000,1.357143,28,0,27,38,38,1,1000,100,0,0,5,5,2,0.617,0.570,0.0938,10
3,5,20,1000,0.8,14.0,treasury,8,12,0.0,3,proposer,1,910,0,0,100,1000,2010,28,28,1.0000,1.357143,28,0,27,38,38,1,0,100,0,1000,5,5,2,0.457,0.488,0.0312,10
3,5,20,1000,0.8,14.0,treasury,8,13,0.0,3,proposer,1,1910,0,0,100,0,2010,31,28,0.9032,1.357143,31,0,30,38,38,1,1000,100,0,0,5,5,2,0.551,0.508,0.0312,10
