validators,clients,deposit,reward,tau,runtime,remainder_sink,rand_period,seed,ipfs_fail_rate,intent_cap,fee_policy,round_index,balances_sum,entitlements_sum,pools_sum,locked_deposits,treasury,conserved_money,blocks_applied,txs_applied,avg_txs_per_block,avg_fee_per_tx,unique_eligibilities,missed_proposals,forks_observed,fees_charged,fees_distributed,rounds,alloc_total,refund_total,forfeit_total,remainder_total,included_total,refunds_count_total,ml_rounds,ml_last_acc_before,ml_last_acc_after,ml_impr_sum,ml_clients_used_sum
5,1,20,1000,0.8,12.0,treasury,16,22,0.0,3,proposer,1,1190,0,0,20,0,1210,24,8,0.3333,1.750000,24,0,23,14,14,1,1000,20,0,0,1,1,0,0.000,0.000,0.0000,0
5,3,20,1000,0.8,12.0,treasury,16,22,0.0,3,proposer,1,1549,0,0,60,1,1610,24,18,0.7500,1.444444,24,0,23,26,26,1,999,60,0,1,3,3,0,0.000,0.000,0.0000,0
5,5,20,1000,0.8,12.0,treasury,16,22,0.0,3,proposer,1,1908,0,0,100,2,2010,24,28,1.1667,1.357143,24,0,23,38,38,1,998,100,0,2,5,5,0,0.000,0.000,0.0000,0
5,10,20,1000,0.8,12.0,treasury,16,22,0.0,3,proposer,1,2807,0,0,200,3,3010,24,53,2.2083,1.283019,24,0,23,68,68,1,997,200,0,3,10,10,0,0.000,0.000,0.0000,0
5,20,20,1000,0.8,12.0,treasury,16,22,0.0,3,proposer,1,4604,0,0,400,6,5010,24,103,4.2917,1.242718,24,0,23,128,128,1,994,400,0,6,20,20,0,0.000,0.000,0.0000,0
5,40,20,1000,0.8,12.0,treasury,16,22,0.0,3,proposer,1,8193,0,0,800,17,9010,24,203,8.4583,1.221675,24,0,23,248,248,1,983,800,0,17,40,40,0,0.000,0.000,0.0000,0
