validators,clients,deposit,reward,tau,runtime,remainder_sink,rand_period,seed,ipfs_fail_rate,intent_cap,fee_policy,round_index,balances_sum,entitlements_sum,pools_sum,locked_deposits,treasury,conserved_money,blocks_applied,txs_applied,avg_txs_per_block,avg_fee_per_tx,unique_eligibilities,missed_proposals,forks_observed,fees_charged,fees_distributed,rounds,alloc_total,refund_total,forfeit_total,remainder_total,included_total,refunds_count_total,ml_rounds,ml_last_acc_before,ml_last_acc_after,ml_impr_sum,ml_clients_used_sum
3,5,20,1000,0.2,12.0,treasury,8,42,0.0,3,proposer,1,810,0,0,100,1100,2010,5,13,2.6000,1.384615,5,0,4,18,18,1,0,0,100,1000,0,0,0,0.000,0.000,0.0000,0
3,5,20,1000,0.4,12.0,treasury,8,42,0.0,3,proposer,1,1908,0,0,100,2,2010,9,28,3.1111,1.357143,9,0,8,38,38,1,998,100,0,2,5,5,0,0.000,0.000,0.0000,0
3,5,20,1000,0.6,12.0,treasury,8,42,0.0,3,proposer,1,1908,0,0,100,2,2010,15,23,1.5333,1.434783,15,0,14,33,33,1,998,100,0,2,5,5,0,0.000,0.000,0.0000,0
3,5,20,1000,0.8,12.0,treasury,8,42,0.0,3,proposer,1,1908,0,0,100,2,2010,19,23,1.2105,1.434783,19,0,18,33,33,1,998,100,0,2,5,5,0,0.000,0.000,0.0000,0
3,5,20,1000,1.0,12.0,treasury,8,42,0.0,3,proposer,1,810,0,0,100,1100,2010,27,18,0.6667,1.277778,27,0,26,23,23,1,0,0,100,1000,0,0,0,0.000,0.000,0.0000,0
