validators,clients,deposit,reward,tau,runtime,remainder_sink,rand_period,seed,ipfs_fail_rate,intent_cap,fee_policy,round_index,balances_sum,entitlements_sum,pools_sum,locked_deposits,treasury,conserved_money,blocks_applied,txs_applied,avg_txs_per_block,avg_fee_per_tx,unique_eligibilities,missed_proposals,forks_observed,fees_charged,fees_distributed,rounds,alloc_total,refund_total,forfeit_total,remainder_total,included_total,refunds_count_total,ml_rounds,ml_last_acc_before,ml_last_acc_after,ml_impr_sum,ml_clients_used_sum
5,10,20,1000,0.8,12.0,treasury,16,7,0.0,1,proposer,1,2810,0,0,200,0,3010,17,53,3.1176,1.283019,17,0,16,68,68,1,1000,200,0,0,10,10,2,0.562,0.547,0.0781,20
5,10,20,1000,0.8,12.0,treasury,16,7,0.2,1,proposer,1,1730,0,0,200,1080,3010,17,45,2.6471,1.244444,17,0,16,56,56,1,0,120,80,1000,10,6,2,0.453,0.551,0.0977,11
5,10,20,1000,0.8,12.0,treasury,16,7,0.4,1,proposer,1,2690,0,0,200,120,3010,17,53,3.1176,1.283019,17,0,16,68,68,1,1000,80,120,0,10,4,2,0.566,0.570,0.0859,10
