validators,clients,deposit,reward,tau,runtime,remainder_sink,rand_period,seed,ipfs_fail_rate,intent_cap,fee_policy,round_index,balances_sum,entitlements_sum,pools_sum,locked_deposits,treasury,conserved_money,blocks_applied,txs_applied,avg_txs_per_block,avg_fee_per_tx,unique_eligibilities,missed_proposals,forks_observed,fees_charged,fees_distributed,rounds,alloc_total,refund_total,forfeit_total,remainder_total,included_total,refunds_count_total,ml_rounds,ml_last_acc_before,ml_last_acc_after,ml_impr_sum,ml_clients_used_sum
5,10,20,1000,0.8,12.0,treasury,16,9,0.0,1,proposer,1,2807,0,0,200,3,3010,17,53,3.1176,1.283019,17,0,16,68,68,1,997,200,0,3,10,10,0,0.000,0.000,0.0000,0
5,10,20,1000,0.8,12.0,treasury,16,9,0.0,2,proposer,1,2807,0,0,200,3,3010,17,53,3.1176,1.283019,17,0,16,68,68,1,997,200,0,3,10,10,0,0.000,0.000,0.0000,0
5,10,20,1000,0.8,12.0,treasury,16,9,0.0,3,proposer,1,2807,0,0,200,3,3010,17,53,3.1176,1.283019,17,0,16,68,68,1,997,200,0,3,10,10,0,0.000,0.000,0.0000,0
5,10,20,1000,0.8,12.0,treasury,16,9,0.0,5,proposer,1,2807,0,0,200,3,3010,17,53,3.1176,1.283019,17,0,16,68,68,1,997,200,0,3,10,10,0,0.000,0.000,0.0000,0
